ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
010000034,bstpgwp,,,Southmead Hospital,,,,,,Central Way,,,,B,,NW,E0035644,Southmead,Bristol,,,,,,false,UKOS,358998,177708,-2.59203,51.49682,BCT,MKD,OTH,,,,009,2016-07-07T00:00:00,2026-03-11T10:22:35,218,new,active
010000035,bstpgwt,,,Southmead Hospital,,,,,,Central Way,,,,A,,NW,E0035644,Southmead,Bristol,,,,,,false,UKOS,358985,177719,-2.59222,51.49691,BCT,MKD,OTH,,,,009,2016-07-07T00:00:00,2026-03-11T10:19:56,236,new,active
0100ASHYDN0,,,,Ashley Down Rail Station,,,,,,,,,,Entrance,,,E0035561,Ashley Down,Bristol,,,,,,false,UKOS,360040,175672,-2.57679,51.47859,RSE,,,,,,009,2024-11-05T00:00:00,2025-08-20T16:48:01,28,new,active
0100AVONMTH0,,,,Avonmouth Rail Station,,,,,,,,,,Entrance,,,E0035565,Avonmouth,Bristol,,,,,,false,UKOS,351528,178175,-2.6997,51.50042,RSE,,,,,,009,2015-11-11T00:00:00,2025-09-10T09:26:20,73,new,active
0100AVONMTH1,,,,Avonmouth Rail Station,,,,,,,,,,Entrance,,,E0035565,Avonmouth,Bristol,,,,,,false,UKOS,351564,178159,-2.69918,51.50028,RSE,,,,,,009,2025-06-16T00:00:00,2025-09-10T09:24:42,78,new,active
0100BDMNSTR0,,,,Bedminster Rail Station,,,,,,,,,,Entrance,,,E0035570,Bedminster,Bristol,,,,,,false,UKOS,358747,171381,-2.59491,51.43991,RSE,,,,,,009,2015-11-11T00:00:00,2025-08-18T16:10:20,10,new,active
0100BRSTLTM0,,,,Bristol Temple Meads Rail Station,,,,,,,,,,Entrance,,,E0057160,Bristol,,,,,,,true,UKOS,359714,172455,-2.58112,51.44964,RSE,,,,,,009,2015-11-11T00:00:00,2025-08-27T15:55:34,9,new,active
0100CLFDOWN0,,,,Clifton Down Rail Station,,,,,,,,,,Entrance,,,N0077028,Clifton Down,Bristol,,,,,,false,UKOS,357553,174126,-2.61242,51.4645,RSE,,,,,,009,2015-11-11T00:00:00,2025-09-09T14:59:12,22,new,active
0100CLFDOWN1,,,,Clifton Down Rail Station,,,,,,,,,,Entrance,,,N0077028,Clifton Down,Bristol,,,,,,false,UKOS,357678,174160,-2.61062,51.46482,RSE,,,,,,009,2025-09-09T00:00:00,2025-09-09T14:38:46,23,new,active
0100CLFDOWN2,,,,Clifton Down Rail Station,,,,,,,,,,Entrance,,,N0077028,Clifton Down,Bristol,,,,,,false,UKOS,357693,174125,-2.6104,51.4645,RSE,,,,,,009,2025-09-09T00:00:00,2025-09-09T14:54:47,30,new,active
0100LAWRNCH0,,,,Lawrence Hill Rail Station,,,,,,,,,,Entrance,,,N0077038,Lawrence Hill,Bristol,,,,,,false,UKOS,360883,173416,-2.56441,51.45836,RSE,,,,,,009,2015-11-11T00:00:00,2025-09-09T15:45:06,65,new,active
0100LAWRNCH1,,,,Lawrence Hill Rail Station,,,,,,,,,,Entrance,,,N0077038,Lawrence Hill,Bristol,,,,,,false,UKOS,360873,173377,-2.56454,51.45801,RSE,,,,,,009,2025-06-16T00:00:00,2025-09-09T15:47:15,69,new,active
0100LAWRNCH2,,,,Lawrence Hill Rail Station,,,,,,,,,,Entrance,,,N0077038,Lawrence Hill,Bristol,,,,,,false,UKOS,360888,173376,-2.56433,51.458,RSE,,,,,,009,2025-06-16T00:00:00,2025-09-09T15:47:10,65,new,active
0100MONPELR0,,,,Montpelier Rail Station,,,,,,,,,,Entrance,,,E0035625,Montpelier,Bristol,,,,,,false,UKOS,359206,174527,-2.58867,51.46823,RSE,,,,,,009,2010-11-26T00:00:00,2025-09-09T15:22:46,30,new,active
0100MONPELR1,,,,Montpelier Rail Station,,,,,,,,,,Entrance,,,E0035625,Montpelier,Bristol,,,,,,false,UKOS,359254,174586,-2.58799,51.46876,RSE,,,,,,009,2025-06-17T00:00:00,2025-09-09T15:22:38,39,new,active
0100PARSNST0,,,,Parson Street Rail Station,,,,,,,,,,Entrance,,,E0035570,Bedminster,Bristol,,,,,,false,UKOS,357844,170651,-2.60781,51.43328,RSE,,,,,,009,2015-11-11T00:00:00,2025-09-09T11:56:51,88,new,active
0100PATCHWY0,,,,Patchway Rail Station,,,,,,,,,,Entrance,,,N0073250,Patchway Station,Bristol,,,,,,false,UKOS,361102,180914,-2.56208,51.52579,RSE,,,,,,009,2015-11-11T00:00:00,2025-08-18T11:05:54,12,new,active
0100PTWYPR0,,,,Portway Park & Ride Rail Station,,,,,,,,,,Entrance,,,E0035642,Shirehampton,Bristol,,,,,,false,UKOS,352310,176877,-2.68826,51.48882,RSE,,,,,,009,2024-11-05T00:00:00,2025-09-10T14:56:53,40,new,active
0100PTWYPR1,,,,Portway Park & Ride Rail Station,,,,,,,,,,Entrance,,,E0035642,Shirehampton,Bristol,,,,,,false,UKOS,352351,176829,-2.68766,51.48839,RSE,,,,,,009,2025-08-20T00:00:00,2025-09-10T14:56:52,40,new,active
0100REDLAND0,,,,Redland Rail Station,,,,,,,,,,Entrance,,,E0035635,Redland,Bristol,,,,,,false,UKOS,358481,174574,-2.59911,51.4686,RSE,,,,,,009,2010-11-26T00:00:00,2025-09-09T16:55:28,23,new,active
0100SADWRD0,,,,St Andrews Road Rail Station,,,,,,,,,,Entrance,,,N0081104,Avonmouth Trading Estate,Bristol,,,,,,false,UKOS,351809,179552,-2.69584,51.51283,RSE,,,,,,009,2015-11-11T00:00:00,2025-09-02T14:47:36,54,new,active
0100SEMILLS0,,,,Sea Mills Rail Station,,,,,,,,,,Entrance,,,E0035641,Sea Mills,Bristol,,,,,,false,UKOS,354961,175872,-2.64995,51.48,RSE,,,,,,009,2010-11-26T00:00:00,2025-09-02T14:55:28,23,new,active
0100SHAMPTN0,,,,Shirehampton Rail Station,,,,,,,,,,Entrance,,,E0035642,Shirehampton,Bristol,,,,,,false,UKOS,352895,176411,-2.67977,51.48468,RSE,,,,,,009,2010-11-26T00:00:00,2025-09-09T15:37:03,40,new,active
0100STPLTNR0,,,,Stapleton Road Rail Station,,,,,,,,,,Entrance,,,E0035599,Easton,Bristol,,,,,,false,UKOS,360724,174462,-2.56681,51.46775,RSE,,,,,,009,2015-11-11T00:00:00,2025-08-19T09:45:17,12,new,active
0100STPLTNR1,,,,Stapleton Road Rail Station,,,,,,,,,,Entrance,,,E0035599,Easton,Bristol,,,,,,false,UKOS,360726,174460,-2.56678,51.46774,RSE,,,,,,009,2025-08-19T00:00:00,2025-08-19T10:47:08,27,new,active
0100STPLTNR2,,,,Stapleton Road Rail Station,,,,,,,,,,Entrance,,,E0035599,Easton,Bristol,,,,,,false,UKOS,360849,174375,-2.565,51.46698,RSE,,,,,,009,2025-08-19T00:00:00,2025-08-19T10:46:38,23,new,active
0100STPLTNR3,,,,Stapleton Road Rail Station,,,,,,,,,,Entrance,,,E0035599,Easton,Bristol,,,,,,false,UKOS,360736,174516,-2.56664,51.46824,RSE,,,,,,009,2025-08-19T00:00:00,2025-08-19T10:31:44,25,new,active
0100ARN0,,,,Arnolfini Ferry Landing,,,,,,,,,,Entrance,,,N0077031,Harbour,Bristol,,,,,,false,UKOS,358652,172387,-2.59639,51.44895,FTD,,,,,,009,2015-05-05T00:00:00,2015-05-05T11:39:00,5,new,active
0100BCC0,,,,Bristol City Centre Ferry Landing,,,,,,,,,,Entrance,,,N0076879,Bristol City Centre,Bristol,,,,,,false,UKOS,358572,172747,-2.59759,51.45218,FTD,,,,,,009,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
0100BHB0,,,,Bathurst Basin Ferry Landing,,,,,,,,,,Entrance,,,N0077026,Redcliffe,Bristol,,,,,,false,UKOS,358897,172346,-2.59286,51.4486,FTD,,,,,,009,2015-05-05T00:00:00,2015-05-05T12:03:02,9,new,active
0100BRA0,,,,Bristol Bridge Ferry Landing,,,,,,,,,,Entrance,,,N0076879,Bristol City Centre,Bristol,,,,,,false,UKOS,358999,172932,-2.59146,51.45387,FTD,,,,,,009,2017-01-16T00:00:00,2017-01-16T12:36:03,5,delete,inactive
0100BRC0,,,,Castle Park Ferry Landing,,,,,,,,,,Entrance,,,N0077024,Broadmead,Bristol,,,,,,false,UKOS,359185,173055,-2.5888,51.45499,FTD,,,,,,009,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
0100BRD0,,,,Bristol Marina Ferry Landing,,,,,,,,,,Entrance,,,N0077031,Harbour,Bristol,,,,,,false,UKOS,357535,172357,-2.61246,51.4486,FTD,,,,,,009,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
0100BRE0,,,,The Cottage Ferry Landing,,,,,,,,,,Entrance,,,N0077031,Harbour,Bristol,,,,,,false,UKOS,357263,172164,-2.61635,51.44684,FTD,,,,,,009,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
0100BRF0,,,,Millennium Square Ferry Landing,,,,,,,,,,Entrance,,,E0035583,Canons Marsh,Bristol,,,,,,false,UKOS,358471,172354,-2.59899,51.44864,FTD,,,,,,009,2011-03-09T00:00:00,2011-03-09T15:52:17,0,new,active
0100BRG0,,,,ss Great Britain Ferry Landing,,,,,,,,,,Entrance,,,N0077031,Harbour,Bristol,,,,,,false,UKOS,357896,172407,-2.60727,51.44907,FTD,,,,,,009,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
0100BRH0,,,,Mardyke Ferry Landing,,,,,,,,,,Entrance,,,E0035614,Hotwells,Bristol,,,,,,false,UKOS,357488,172426,-2.61315,51.44921,FTD,,,,,,009,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
0100BRL0,,,,Pumphouse Ferry Landing,,,,,,,,,,Entrance,,,E0035614,Hotwells,Bristol,,,,,,false,UKOS,357208,172303,-2.61716,51.44809,FTD,,,,,,009,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
0100BRM0,,,,Temple Bridge (Bristol) Ferry Landing,,,,,,,,,,Entrance,,,N0077020,Temple Meads,Bristol,,,,,,false,UKOS,359522,172780,-2.58392,51.45255,FTD,,,,,,009,2011-03-09T00:00:00,2011-03-09T15:52:17,0,new,active
0100BRN0,,,,Nova Scotia Ferry Landing,,,,,,,,,,Entrance,,,E0035614,Hotwells,Bristol,,,,,,false,UKOS,357149,172221,-2.618,51.44734,FTD,,,,,,009,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
0100BRP0,,,,Prince Street Bridge Ferry Landing,,,,,,,,,,Entrance,,,N0077031,Harbour,Bristol,,,,,,false,UKOS,358622,172364,-2.59682,51.44874,FTD,,,,,,009,2017-01-30T00:00:00,2017-01-30T11:59:35,19,delete,inactive
0100BRQ0,,,,Capricorn Quay Ferry Landing,,,,,,,,,,Entrance,,,E0035583,Canons Marsh,Bristol,,,,,,false,UKOS,357815,172520,-2.60845,51.45008,FTD,,,,,,009,2011-03-09T00:00:00,2011-03-09T15:52:17,0,new,active
0100BRR0,,,,Redcliffe Back Ferry Landing,,,,,,,,,,Entrance,,,N0077026,Redcliffe,Bristol,,,,,,false,UKOS,358986,172742,-2.59163,51.45217,FTD,,,,,,009,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
0100BRS0,,,,Bristol Docks Ferry Landing,,,,,,,,,,Entrance,,,E0035565,Avonmouth,Bristol,,,,,,false,UKOS,351215,178625,-2.70427,51.50444,FTD,,,,,,009,2011-03-09T00:00:00,2011-03-09T15:52:17,0,new,active
0100BRT0,,,,Temple Meads Station Ferry Landing,,,,,,,,,,Entrance,,,N0077020,Temple Meads,Bristol,,,,,,false,UKOS,359699,172663,-2.58136,51.45151,FTD,,,,,,009,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
0100BRW0,,,,Welsh Back Ferry Landing,,,,,,,,,,Entrance,,,N0076879,Bristol City Centre,Bristol,,,,,,false,UKOS,358940,172811,-2.5923,51.45278,FTD,,,,,,009,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
0100GAS0,,,,Gasferry North,,,,,,,,,,Entrance,,,E0057160,Bristol,,,,,,,false,UKOS,357955,172471,-2.60643,51.44965,FTD,,,,,,009,2017-06-13T00:00:00,2017-06-13T15:20:31,13,new,active
0100HNV0,,,,Hannover Quay,,,,,,,,,,Entrance,,,E0057160,Bristol,,,,,,,false,UKOS,357995,172432,-2.60585,51.44931,FTD,,,,,,009,2017-01-30T00:00:00,2017-01-30T11:17:04,9,new,active
0100NLF0,,,,Netham Lock Ferry Terminal,,,,,,,,,,Entrance,,,N0081135,Netham,Bristol,,,,,,false,UKOS,361550,172716,-2.55473,51.45211,FTD,,,,,,009,2024-06-04T00:00:00,2024-06-10T08:38:02,18,new,active
0100OST0,,,,The Ostrich,,,,,,,,,,Entrance,,,N0077026,Redcliffe,Bristol,,,,,,false,UKOS,358815,172311,-2.59404,51.44828,FTD,,,,,,009,2017-01-30T00:00:00,2017-01-30T11:43:37,14,new,active
0100STP0,,,,St Philip's Bridge,,,,,,,,,,Entrance,,,N0077020,Temple Meads,Bristol,,,,,,false,UKOS,359337,172895,-2.5866,51.45357,FTD,,,,,,009,2017-01-30T00:00:00,2017-01-30T11:47:56,9,new,active
0100WWH0,,,,Wapping Wharf,,,,,,,,,,Entrance,,,E0035583,Canons Marsh,Bristol,,,,,,false,UKOS,358252,172196,-2.60213,51.4472,FTD,,,,,,009,2017-01-30T00:00:00,2017-01-30T11:38:51,9,new,active
0100BRP90111,bstjpgm,,,Dormer Road,,,,,,Muller Road,,,,NW-bound,,NW,E0035600,Eastville,Bristol,,,,,,false,UKOS,360681,175367,-2.56753,51.47589,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2023-12-13T15:24:05,4,new,active
0100BRP90100,bstjmjw,,,Narroways Road,,,,,,Glenfrome Road,,,,SW-bound,,SW,E0035600,Eastville,Bristol,,,,,,false,UKOS,360458,174994,-2.5707,51.47252,BCT,MKD,OTH,,,,009,2009-02-05T00:00:00,2017-10-03T13:41:39,14,new,active
0100BRP90098,bstjmjp,,,Narroways Road,,,,,,Glenfrome Road,,,,NE-bound,,NE,E0035600,Eastville,Bristol,,,,,,false,UKOS,360452,175006,-2.57079,51.47263,BCT,MKD,OTH,,,,009,2009-02-05T00:00:00,2017-10-03T13:42:07,14,new,active
0100BRA10868,bstmpwj,,,Mendip View Avenue,,,,,,Lodge Causeway,,,,NW-bound,,NW,E0035604,Fishponds,Bristol,,,,,,false,UKOS,363264,175190,-2.53032,51.47447,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2017-08-10T16:52:33,10,new,active
0100BRA10869,bstmpwg,,,Mendip View Avenue,,,,,,Lodge Causeway,,,,SE-bound,,SE,E0035604,Fishponds,Bristol,,,,,,false,UKOS,363243,175214,-2.53063,51.47469,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2017-08-10T16:52:50,10,new,active
0100BRA10867,bstmwpm,,,Market Square,,,,,,Hillfields Avenue,,,,SW-bound,,SW,E0035612,Hillfields,Bristol,,,,,,false,UKOS,364369,175080,-2.5144,51.47355,BCT,MKD,OTH,,,,009,2007-01-02T00:00:00,2023-10-20T16:23:14,4,new,active
0100BRA10866,bstmwpg,,,Market Square,,,,,,Hillfields Avenue,,,,N-bound,,N,E0035612,Hillfields,Bristol,,,,,,false,UKOS,364361,175068,-2.51452,51.47344,BCT,MKD,OTH,,,,009,2007-01-02T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA10865,bstmwmw,,,Woodland Way,,,,,,Hillfields Avenue,,,,N-bound,,N,N0064870,Soundwell,,,,,,,false,UKOS,364339,174870,-2.51481,51.47166,BCT,MKD,OTH,,,,009,2007-01-02T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA10864,bstmwmt,,,Woodland Way,,,,,,Henshaw Road,,,,S-bound,,S,N0064870,Soundwell,,,,,,,false,UKOS,364334,174810,-2.51488,51.47112,BCT,MKD,OTH,,,,009,2007-04-02T00:00:00,2016-11-11T11:53:03,4,new,active
0100BRA10862,bstmwmp,,,Cossham Hospital,,,,,,Lodge Road,,,,N-bound,,N,E0035612,Hillfields,Bristol,,,,,,false,UKOS,364312,174539,-2.51517,51.46868,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2017-08-10T16:51:28,10,new,active
0100BRA10863,bstmwmj,,,Cossham Hospital,,,,,,Lodge Road,,,,SE-bound,,SE,E0035612,Hillfields,Bristol,,,,,,false,UKOS,364296,174590,-2.5154,51.46914,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2017-08-10T16:51:47,10,new,active
0100BRA56557,bstpawt,,,Hockeys Lane,,,,,,Hockeys Lane,,,,N-bound,,N,E0035604,Fishponds,Bristol,,,,,,false,UKOS,363077,175580,-2.53306,51.47796,BCT,CUS,OTH,,,,009,2009-02-09T00:00:00,2017-08-07T16:24:02,9,delete,inactive
0100BRA10874,bstmpmd,,,Hockeys Lane,,,,,,Hockey's Lane,,,,S-bound,,S,E0035604,Fishponds,Bristol,,,,,,false,UKOS,363083,175592,-2.53297,51.47807,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2017-08-07T16:24:48,9,delete,inactive
0100BRA10872,bstmtaw,,,Goodneston Road,,,,,,Goodneston Road,,,,SW-bound,,SW,E0035604,Fishponds,Bristol,,,,,,false,UKOS,363394,175420,-2.52847,51.47655,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2017-08-07T16:18:47,9,delete,inactive
0100BRA10873,bstmtdg,,,Goodneston Road,,,,,,Goodneston Road,,,,NE-bound,,NE,E0035604,Fishponds,Bristol,,,,,,false,UKOS,363420,175456,-2.5281,51.47687,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2017-08-07T16:18:37,9,delete,inactive
0100BRA10871,bstmpag,,,Parnall Road,,,,,,Lodge Causeway,,,,NW-bound,,NW,E0035604,Fishponds,Bristol,,,,,,false,UKOS,363057,175321,-2.53332,51.47563,BCT,MKD,OTH,,,,009,2007-03-29T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA10870,bstmpma,,,Parnall Road,,,,,,Lodge Causeway,,,,SE-bound,,SE,E0035604,Fishponds,Bristol,,,,,,false,UKOS,363079,175322,-2.533,51.47565,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA10855,bstmtwg,,,New Queen Street,,,,,,Charlton Road,,,,SW-bound,,SW,E0035663,Two Mile Hill,Bristol,,,,,,false,UKOS,363894,174199,-2.52115,51.4656,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA10856,bstmtwa,,,New Queen Street,,,,,,Charlton Road,,,,N-bound,,N,E0035663,Two Mile Hill,Bristol,,,,,,false,UKOS,363885,174228,-2.52128,51.46586,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA10853,bstmwam,,,Salisbury Avenue,,,,,,Kingsway,,,,S-bound,,S,E0035663,Two Mile Hill,Bristol,,,,,,false,UKOS,363950,173789,-2.5203,51.46192,BCT,CUS,OTH,,,,009,2009-08-25T00:00:00,2016-10-31T10:33:04,5,new,active
0100BRA10854,bstmwaj,,,Salisbury Avenue,,,,,,Kingsway,,,,N-bound,,N,E0035663,Two Mile Hill,Bristol,,,,,,false,UKOS,363948,173750,-2.52033,51.46157,BCT,CUS,OTH,,,,009,2009-02-10T00:00:00,2016-10-31T10:33:04,6,new,active
0100BRA10851,bstmtwp,,,Kingsway,,,,,,Kingsway,,,,S-bound,,S,E0035649,St George,Bristol,,,,,,false,UKOS,363907,173420,-2.52088,51.4586,BCT,CUS,OTH,,,,009,2009-02-10T00:00:00,2017-04-24T10:13:49,12,new,active
0100BRA10852,bstmwag,,,Kingsway,,,,,,Kingsway,,,,N-bound,,N,E0035649,St George,Bristol,,,,,,false,UKOS,363931,173517,-2.52055,51.45947,BCT,CUS,OTH,,,,009,2009-02-10T00:00:00,2017-04-24T10:12:40,12,new,active
0100BRA10849,bstmtpt,,,Thatchers Close,,,,,,Kingsway,,,,S-bound,,S,E0035649,St George,Bristol,,,,,,false,UKOS,363865,173238,-2.52147,51.45696,BCT,CUS,OTH,,,,009,2009-02-10T00:00:00,2017-04-24T10:08:39,14,new,active
0100BRA10850,bstmtpw,,,Thatchers Close,,,,,,Kingsway,,,,N-bound,,N,E0035649,St George,Bristol,,,,,,false,UKOS,363874,173337,-2.52135,51.45785,BCT,CUS,OTH,,,,009,2009-02-10T00:00:00,2017-04-24T10:08:56,10,new,active
0100BRA10860,bstmwpw,,,Lodge Road,,,,,,Lodge Road,,,,S-bound,,S,E0035663,Two Mile Hill,Bristol,,,,,,false,UKOS,364378,174154,-2.51418,51.46523,BCT,MKD,OTH,,,,009,2007-10-31T00:00:00,2023-11-01T16:46:57,4,new,active
0100BRA10861,bstmwpt,,,Lodge Road,,,,,,Lodge Road,,,,N-bound,,N,E0035663,Two Mile Hill,Bristol,,,,,,false,UKOS,364371,174250,-2.51429,51.46609,BCT,MKD,OTH,,,,009,2007-11-08T00:00:00,2023-11-01T16:47:22,4,new,active
0100BRA10859,bstmwpa,,,Soundwell Road,,,,,,Soundwell Road,,,,N-bound,,N,E0035663,Two Mile Hill,Bristol,,,,,,false,UKOS,364346,173975,-2.51462,51.46362,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2023-11-01T16:46:07,4,new,active
0100BRA56569,bstpdgp,,,Feeder Road,,,,,,Feeder Road,,,,E-bound,,E,N0077043,St Annes,Bristol,,,,,,false,UKOS,361500,172698,-2.55545,51.45195,BCT,CUS,OTH,,,,009,2009-02-10T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA56568,bstpdgm,,,Feeder Road,,,,,,Feeder Road,,,,W-bound,,W,N0077043,St Annes,Bristol,,,,,,false,UKOS,361477,172686,-2.55578,51.45184,BCT,CUS,OTH,,,,009,2009-02-09T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA56549,bstpatj,,,Downs Cote Avenue,,,,,,Falcondale Road,,,,NW-bound,,NW,E0035670,Westbury on Trym,Bristol,,,,,,false,UKOS,357005,176961,-2.62065,51.48995,BCT,MKD,OTH,,,,009,2006-02-16T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA56550,bstpatm,,,Downs Cote Avenue,,,,,,Falcondale Road,,,,SE-bound,,SE,E0035670,Westbury on Trym,Bristol,,,,,,false,UKOS,357017,176972,-2.62048,51.49005,BCT,MKD,OTH,,,,009,2006-02-16T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA56546,bstpatd,,,Dorian Road,,,,,,Dorian Road,,,,E-bound,,E,E0035613,Horfield,Bristol,,,,,,false,UKOS,359498,177303,-2.58479,51.49321,BCT,MKD,OTH,,,,009,2005-12-23T00:00:00,2023-03-29T09:51:35,34,new,active
0100BRA56547,bstpatw,,,Dorian Road,,,,,,Dorian Road,,,,W-bound,,W,E0035613,Horfield,Bristol,,,,,,false,UKOS,359522,177286,-2.58444,51.49306,BCT,MKD,OTH,,,,009,2006-02-17T00:00:00,2023-12-13T15:41:28,27,new,active
0100BRA56556,bstpawp,,,Day's Road,,,,,,Day's Road,,,,NE-bound,,NE,E0035660,The Dings,Bristol,,,,,,false,UKOS,360337,172854,-2.5722,51.45327,BCT,MKD,OTH,,,,009,2006-03-23T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA56555,bstpawm,,,Day's Road,,,,,,Day's Road,,,,SW-bound,,SW,E0035660,The Dings,Bristol,,,,,,false,UKOS,360335,172840,-2.57223,51.45314,BCT,MKD,OTH,,,,009,2006-03-23T00:00:00,2016-10-31T10:33:04,4,new,active
