WorkOrFranchise,LocationName,Latitude,Longitude,Region,SourceNote
Game of Thrones (NI),Castle Ward (Winterfell exteriors),54.3510,-5.5500,Down,NI National Trust
Game of Thrones (NI),Ballintoy Harbour,55.2280,-6.3600,Antrim,Iron Islands feel
Braveheart (1995),Glen Nevis valley plates,56.8170,-5.0500,Highland,Scotland mountain shots in film
Braveheart,Glencoe (battle mood plates),56.6500,-5.0300,Highland,Scotland landscapes
The Italian Job (1969),Turin plates + Mini chase (UK studio mix),51.5070,-0.1270,London,Iconic British caper — London anchor row
Hot Fuzz,Sandford village (Wells),51.2100,-2.6500,Somerset,Wells cathedral city
The Holiday (2006),Godminster / Shere area cottages,51.2200,-0.5700,Surrey,English cottage aesthetic — coordinates approximate village area
Four Weddings and a Funeral,South Bank / Notting Hill areas,51.5070,-0.1200,London,Rom-com London cluster — representative point
Notting Hill (film),Notting Hill Bookshop area,51.5150,-0.2050,London,Portobello tourism
The King's Speech (2010),Elland Road / interiors mix — Lancaster House,51.5045,-0.1440,London,Stately interiors London
1917 (2019),Govan Docks / Salisbury Plain plates,51.1750,-1.7500,Wiltshire,Salisbury Plain training area — approximate
1917 (2019),Shepperton Studios context,51.4080,-0.4630,Surrey,Studio production — map anchor only
Peaky Blinders (TV),Black Country Living Museum,52.5200,-2.0800,West Midlands,Period street set
Peaky Blinders (TV),Liverpool docks vicinity,53.4060,-2.9920,Merseyside,Industrial scenes
The Theory of Everything (2014),Cambridge colleges vicinity,52.2050,0.1200,Cambridge,Stephen Hawking biopic
The Imitation Game (2014),Bletchley Park,51.9970,-0.7430,Buckinghamshire,Codebreaking heritage site
Tolkien (2019),Birmingham / Oxford plates,52.4860,-1.8900,West Midlands,Biopic — dual city anchor
The Dig (2021),Sutton Hoo vicinity,52.0890,1.3380,Suffolk,Archaeology drama
The Banshees of Inisherin (2022),Inishmore stand-in research — use NI coast,55.2000,-6.2500,Northern Ireland,Production used Irish locations; UK row gives NI coordinate for GB coursework narrative
Yesterday (2019),Gorleston beach / Norfolk,52.5800,1.7200,Norfolk,East coast
The Duke (2020),Newcastle / London plates,54.9780,-1.6100,Tyne and Wear,Regional caper
The Batman (2022),Liverpool as Gotham plates,53.4080,-2.9910,Merseyside,UK city doubling
Mission: Impossible Fallout (2018),London rooftop / St Paul’s area,51.5130,-0.0980,London,Action plates
Fast & Furious Hobbs & Shaw (2019),Glasgow city centre doubles,55.8600,-4.2500,Glasgow,Scotland street chase plates
Avengers Age of Ultron (2015),Hawley Woods / Dover plates,51.1300,1.3100,Kent,UK locations in MCU
Mary Poppins Returns (2018),Bank of England / City streets,51.5140,-0.0890,London,Musical London
The Favourite (2018),Hatfield House,51.7630,-0.2130,Hertfordshire,Period interiors
Spencer (2021),Schloss Marienburg (DE) + UK mood — Norfolk Sandringham area,52.8300,0.5100,Norfolk,Diana biopic — Sandringham approximate
The Crown (locations batch),Ely Cathedral vicinity,52.3980,0.2620,Cambridgeshire,Cathedral filming common
The Crown (locations batch),Caernarfon Castle,53.1390,-4.2770,Gwynedd,Wales investiture context
The Crown (locations batch),Slains Castle (crag exterior),57.4200,-1.8300,Aberdeenshire,Scotland coastal
The Crown (locations batch),Eilean Donan Castle,57.2740,-5.5160,Highland,Scotland — iconic exterior
Brave (Pixar research),Scottish Highlands generic inspiration,56.8000,-5.0000,Highland,Animated — not filmed but tourism narrative
The Wicker Man (1973),Burton / Plockton area plates,57.3400,-5.6500,Highland,Scotland — cult classic
Local Hero (1983),Pennan harbour,57.8500,-2.2500,Aberdeenshire,Scotland village
Trainspotting (1996),Edinburgh Princes Street area,55.9530,-3.1900,Edinburgh,Scotland urban drama
The Railway Children (1970),Oakworth Station,53.8160,-1.9500,West Yorkshire,Heritage line
War Horse (2011),Castle Combe village,51.4930,-2.2180,Wiltshire,Period village
Stardust (2007),Isle of Skye / Eilean Donan plates,57.2700,-5.5200,Highland,Fantasy UK landscapes
The Holiday (comparison row),Cornwall coastal path generic,50.0500,-5.7000,Cornwall,Romantic getaway trope
